"","logFC.BSvsM","FDR.BSvsM","GENEID","logFC.MvsV","FDR.MvsV","logFC.BSvsV","FDR.BSvsV"
"120",-3.10783253064729,2.6268418659617e-07,"LOC_Os08g04500",7.78465947707839,2.51378009440385e-12,4.67682694643111,2.99765818274811e-09
"121",2.0701367400634,2.79141639918389e-07,"LOC_Os03g17690",-3.93333634152543,6.34581338175035e-12,-1.86319960146203,8.75912666644792e-07
"122",-1.78097759681085,2.82102860085213e-07,"LOC_Os05g41640",5.12966053392255,6.79517852888987e-14,3.3486829371117,5.34453679099192e-11
"123",-1.37092640155337,3.01148047581792e-07,"LOC_Os12g23200",5.32641523263178,1.12558047829136e-15,3.95548883107841,1.42161041564121e-13
"124",-1.47187492483314,3.01148047581792e-07,"LOC_Os02g37060",5.35936356186966,2.44980071352195e-15,3.88748863703651,3.74011864189752e-13
"125",-1.51929555606626,3.09438808182851e-07,"LOC_Os03g52170",3.68455488184896,4.32292750643755e-13,2.1652593257827,2.49496643000787e-09
"126",4.24739609946483,3.09445593083291e-07,"LOC_Os09g29239",-3.26830478906745,2.69345784655828e-06,0.979091310397385,0.128780031915858
"127",-1.90303651008589,3.23478473595078e-07,"LOC_Os12g38640",5.12708230667165,2.25125303613486e-13,3.22404579658577,3.04761991082142e-10
"128",-1.57969066912317,3.23478473595078e-07,"LOC_Os07g47640",5.30729781163777,7.61587060778503e-15,3.7276071425146,2.20143339885129e-12
"129",-1.58791451661975,3.51173113777969e-07,"LOC_Os02g51470",5.1335037161464,1.33584915701198e-14,3.54558919952665,4.70880088235186e-12
"130",3.11698081052905,3.85140612316923e-07,"LOC_Os03g54000",-2.60688637896764,1.43965518625241e-06,0.510094431561411,0.396586895170286
"131",-1.55074525977148,3.8671119250533e-07,"LOC_Os02g24642",5.35906894415443,6.25818616542762e-15,3.80832368438296,1.5535020551739e-12
"132",-1.88732988211673,3.8671119250533e-07,"LOC_Os02g47020",5.28991799427829,1.6284436727559e-13,3.40258811216157,1.54095418210818e-10
