"","GENEID"
"8691","LOC_Os05g51070"
"8702","LOC_Os05g51450"
"8714","LOC_Os05g51620"
"8729","LOC_Os06g01210"
"8741","LOC_Os06g01440"
"8758","LOC_Os06g01850"
"8786","LOC_Os06g02490"
"8833","LOC_Os06g03990"
"8839","LOC_Os06g04070"
"8843","LOC_Os06g04140"
"8844","LOC_Os06g04150"
"8848","LOC_Os06g04270"
"8862","LOC_Os06g04510"
"8903","LOC_Os06g05390"
"8929","LOC_Os06g05950"
"8953","LOC_Os06g06560"
"8958","LOC_Os06g06770"
"8991","LOC_Os06g07760"
"9025","LOC_Os06g08670"
"9056","LOC_Os06g09610"
"9058","LOC_Os06g09679"
"9063","LOC_Os06g09880"
"9065","LOC_Os06g09900"
"9110","LOC_Os06g11380"
"9152","LOC_Os06g12600"
"9154","LOC_Os06g12630"
"9176","LOC_Os06g13190"
"9185","LOC_Os06g13660"
"9199","LOC_Os06g14324"
"9204","LOC_Os06g14420"
"9219","LOC_Os06g15400"
"9230","LOC_Os06g15990"
"9258","LOC_Os06g17970"
"9280","LOC_Os06g19970"
"9298","LOC_Os06g21110"
"9303","LOC_Os06g21380"
"9310","LOC_Os06g21590"
"9318","LOC_Os06g22060"
"9324","LOC_Os06g22394"
"9336","LOC_Os06g22960"
"9353","LOC_Os06g24070"
"9360","LOC_Os06g24711"
"9385","LOC_Os06g28194"
"9393","LOC_Os06g28950"
"9411","LOC_Os06g29844"
"9415","LOC_Os06g30310"
"9443","LOC_Os06g33710"
"9493","LOC_Os06g37010"
"9503","LOC_Os06g37450"
"9522","LOC_Os06g39330"
"9524","LOC_Os06g39370"
"9532","LOC_Os06g39690"
"9534","LOC_Os06g39708"
"9535","LOC_Os06g39712"
"9536","LOC_Os06g39716"
"9537","LOC_Os06g39718"
"9538","LOC_Os06g39740"
"9544","LOC_Os06g39900"
"9545","LOC_Os06g39906"
"9546","LOC_Os06g39912"
"9551","LOC_Os06g40080"
"9563","LOC_Os06g40440"
"9573","LOC_Os06g40640"
"9585","LOC_Os06g40940"
"9599","LOC_Os06g41450"
"9610","LOC_Os06g41990"
"9613","LOC_Os06g42060"
"9621","LOC_Os06g42720"
"9631","LOC_Os06g43140"
"9648","LOC_Os06g43660"
"9656","LOC_Os06g43800"
"9663","LOC_Os06g43900"
"9672","LOC_Os06g44160"
"9682","LOC_Os06g44450"
"9686","LOC_Os06g44840"
"9705","LOC_Os06g45340"
"9714","LOC_Os06g45480"
"9726","LOC_Os06g45820"
"9744","LOC_Os06g46434"
"9746","LOC_Os06g46436"
"9751","LOC_Os06g46590"
"9760","LOC_Os06g46920"
"9781","LOC_Os06g47550"
"9794","LOC_Os06g47940"
"9796","LOC_Os06g47970"
"9813","LOC_Os06g48610"
"9831","LOC_Os06g49040"
"9835","LOC_Os06g49110"
"9836","LOC_Os06g49120"
"9839","LOC_Os06g49160"
"9858","LOC_Os06g49640"
"9880","LOC_Os06g50070"
"9885","LOC_Os06g50130"
"9905","LOC_Os06g50870"
"9908","LOC_Os06g51029"
"9916","LOC_Os06g51260"
"9918","LOC_Os06g51290"
"9938","LOC_Os07g01020"
"9939","LOC_Os07g01030"
"9951","LOC_Os07g01250"
"9986","LOC_Os07g02460"
"10010","LOC_Os07g04020"
"10023","LOC_Os07g04840"
"10025","LOC_Os07g04910"
"10026","LOC_Os07g04990"
"10027","LOC_Os07g05000"
"10032","LOC_Os07g05390"
"10037","LOC_Os07g05480"
"10046","LOC_Os07g05820"
"10061","LOC_Os07g06600"
"10064","LOC_Os07g06660"
"10071","LOC_Os07g06840"
"10096","LOC_Os07g07300"
"10103","LOC_Os07g07480"
"10105","LOC_Os07g07540"
"10124","LOC_Os07g08030"
"10128","LOC_Os07g08150"
"10129","LOC_Os07g08160"
"10139","LOC_Os07g08390"
"10159","LOC_Os07g08970"
"10164","LOC_Os07g09150"
"10184","LOC_Os07g09800"
"10203","LOC_Os07g10490"
"10217","LOC_Os07g10840"
"10226","LOC_Os07g11110"
"10243","LOC_Os07g12530"
"10258","LOC_Os07g13234"
"10270","LOC_Os07g13969"
"10297","LOC_Os07g15670"
"10333","LOC_Os07g19130"
"10353","LOC_Os07g22504"
"10361","LOC_Os07g22930"
"10365","LOC_Os07g23120"
"10384","LOC_Os07g23990"
"10386","LOC_Os07g24230"
"10388","LOC_Os07g25002"
"10389","LOC_Os07g25004"
"10394","LOC_Os07g25430"
"10409","LOC_Os07g26690"
"10429","LOC_Os07g27780"
"10436","LOC_Os07g28040"
"10440","LOC_Os07g28400"
"10446","LOC_Os07g28610"
"10450","LOC_Os07g28790"
"10458","LOC_Os07g29224"
"10459","LOC_Os07g29240"
"10465","LOC_Os07g29410"
"10486","LOC_Os07g30610"
"10495","LOC_Os07g30960"
"10524","LOC_Os07g31884"
"10540","LOC_Os07g32560"
"10541","LOC_Os07g32570"
"10550","LOC_Os07g32880"
"10574","LOC_Os07g34006"
"10578","LOC_Os07g34570"
"10581","LOC_Os07g34620"
"10582","LOC_Os07g34640"
"10598","LOC_Os07g35880"
"10601","LOC_Os07g36080"
"10604","LOC_Os07g36180"
"10605","LOC_Os07g36190"
"10612","LOC_Os07g36410"
"10626","LOC_Os07g37030"
"10633","LOC_Os07g37230"
"10634","LOC_Os07g37240"
"10635","LOC_Os07g37250"
"10637","LOC_Os07g37310"
"10641","LOC_Os07g37550"
"10642","LOC_Os07g37560"
"10690","LOC_Os07g38620"
"10694","LOC_Os07g38790"
"10695","LOC_Os07g38830"
"10700","LOC_Os07g38960"
"10712","LOC_Os07g39350"
"10715","LOC_Os07g39470"
"10741","LOC_Os07g40450"
"10782","LOC_Os07g41710"
"10844","LOC_Os07g43330"
"10847","LOC_Os07g43370"
"10857","LOC_Os07g43560"
"10858","LOC_Os07g43570"
"10859","LOC_Os07g43700"
"10930","LOC_Os07g46320"
"10931","LOC_Os07g46330"
"10938","LOC_Os07g46410"
"10943","LOC_Os07g46460"
"10946","LOC_Os07g46520"
"10964","LOC_Os07g46790"
"10968","LOC_Os07g47090"
"10995","LOC_Os07g47640"
"10998","LOC_Os07g47700"
"11018","LOC_Os07g48340"
"11051","LOC_Os07g49110"
"11052","LOC_Os07g49114"
"11080","LOC_Os08g01140"
"11081","LOC_Os08g01170"
"11088","LOC_Os08g01320"
"11091","LOC_Os08g01380"
"11107","LOC_Os08g01770"
"11129","LOC_Os08g02210"
"11141","LOC_Os08g02630"
"11180","LOC_Os08g04390"
"11182","LOC_Os08g04430"
"11187","LOC_Os08g04500"
"11231","LOC_Os08g06230"
"11234","LOC_Os08g06280"
"11247","LOC_Os08g06530"
"11250","LOC_Os08g06630"
"11322","LOC_Os08g10020"
"11326","LOC_Os08g10250"
"11349","LOC_Os08g11480"
"11353","LOC_Os08g12449"
"11356","LOC_Os08g12750"
"11388","LOC_Os08g14440"
"11389","LOC_Os08g14450"
"11414","LOC_Os08g15296"
"11417","LOC_Os08g15322"
"11423","LOC_Os08g16010"
"11428","LOC_Os08g16570"
"11461","LOC_Os08g19140"
"11479","LOC_Os08g20410"
"11483","LOC_Os08g20570"
"11497","LOC_Os08g22149"
"11510","LOC_Os08g23410"
"11542","LOC_Os08g25734"
"11546","LOC_Os08g25900"
"11548","LOC_Os08g26710"
"11554","LOC_Os08g27010"
"11591","LOC_Os08g29170"
"11608","LOC_Os08g29780"
"11609","LOC_Os08g30020"
"11627","LOC_Os08g31340"
"11631","LOC_Os08g31510"
"11635","LOC_Os08g31630"
"11676","LOC_Os08g33350"
"11677","LOC_Os08g33370"
"11685","LOC_Os08g33540"
"11695","LOC_Os08g33820"
"11709","LOC_Os08g34210"
"11731","LOC_Os08g35160"
"11740","LOC_Os08g35860"
"11748","LOC_Os08g36140"
