"","GENEID"
"9180","LOC_Os06g13230"
"9181","LOC_Os06g13320"
"9226","LOC_Os06g15760"
"9229","LOC_Os06g15820"
"9236","LOC_Os06g16300"
"9244","LOC_Os06g16450"
"9250","LOC_Os06g17390"
"9256","LOC_Os06g17900"
"9264","LOC_Os06g18990"
"9282","LOC_Os06g19990"
"9313","LOC_Os06g21690"
"9336","LOC_Os06g22960"
"9389","LOC_Os06g28630"
"9399","LOC_Os06g29180"
"9401","LOC_Os06g29350"
"9402","LOC_Os06g29380"
"9408","LOC_Os06g29790"
"9422","LOC_Os06g30480"
"9454","LOC_Os06g34730"
"9455","LOC_Os06g34790"
"9457","LOC_Os06g35160"
"9458","LOC_Os06g35200"
"9462","LOC_Os06g35550"
"9469","LOC_Os06g35940"
"9486","LOC_Os06g36700"
"9493","LOC_Os06g37010"
"9499","LOC_Os06g37364"
"9509","LOC_Os06g38294"
"9515","LOC_Os06g38970"
"9546","LOC_Os06g39912"
"9547","LOC_Os06g39960"
"9554","LOC_Os06g40170"
"9555","LOC_Os06g40180"
"9571","LOC_Os06g40620"
"9612","LOC_Os06g42030"
"9618","LOC_Os06g42560"
"9621","LOC_Os06g42720"
"9622","LOC_Os06g42730"
"9634","LOC_Os06g43190"
"9699","LOC_Os06g45120"
"9713","LOC_Os06g45440"
"9718","LOC_Os06g45580"
"9729","LOC_Os06g45850"
"9737","LOC_Os06g46310"
"9755","LOC_Os06g46770"
"9768","LOC_Os06g47200"
"9785","LOC_Os06g47640"
"9787","LOC_Os06g47800"
"9792","LOC_Os06g47910"
"9798","LOC_Os06g48060"
"9804","LOC_Os06g48320"
"9819","LOC_Os06g48750"
"9846","LOC_Os06g49360"
"9847","LOC_Os06g49380"
"9852","LOC_Os06g49480"
"9853","LOC_Os06g49490"
"9871","LOC_Os06g49920"
"9876","LOC_Os06g50000"
"9878","LOC_Os06g50040"
"9891","LOC_Os06g50300"
"9894","LOC_Os06g50340"
"9919","LOC_Os06g51310"
"9953","LOC_Os07g01300"
"9954","LOC_Os07g01310"
"9959","LOC_Os07g01660"
"9986","LOC_Os07g02460"
"10004","LOC_Os07g03180"
"10010","LOC_Os07g04020"
"10035","LOC_Os07g05440"
"10042","LOC_Os07g05640"
"10070","LOC_Os07g06830"
"10089","LOC_Os07g07220"
"10090","LOC_Os07g07240"
"10095","LOC_Os07g07290"
"10096","LOC_Os07g07300"
"10116","LOC_Os07g07709"
"10155","LOC_Os07g08840"
"10171","LOC_Os07g09420"
"10213","LOC_Os07g10720"
"10247","LOC_Os07g12650"
"10273","LOC_Os07g14160"
"10274","LOC_Os07g14270"
"10289","LOC_Os07g14910"
"10307","LOC_Os07g16600"
"10409","LOC_Os07g26690"
"10431","LOC_Os07g27810"
"10514","LOC_Os07g31490"
"10520","LOC_Os07g31720"
"10538","LOC_Os07g32510"
"10541","LOC_Os07g32570"
"10551","LOC_Os07g32890"
"10572","LOC_Os07g33898"
"10578","LOC_Os07g34570"
"10579","LOC_Os07g34589"
"10586","LOC_Os07g34740"
"10594","LOC_Os07g35680"
"10595","LOC_Os07g35690"
"10606","LOC_Os07g36210"
"10612","LOC_Os07g36410"
"10619","LOC_Os07g36800"
"10628","LOC_Os07g37100"
"10681","LOC_Os07g38430"
"10689","LOC_Os07g38610"
"10712","LOC_Os07g39350"
"10715","LOC_Os07g39470"
"10723","LOC_Os07g39680"
"10730","LOC_Os07g39800"
"10745","LOC_Os07g40570"
"10746","LOC_Os07g40580"
"10758","LOC_Os07g40940"
"10773","LOC_Os07g41400"
"10774","LOC_Os07g41410"
"10775","LOC_Os07g41460"
"10818","LOC_Os07g42714"
"10819","LOC_Os07g42730"
"10828","LOC_Os07g42940"
"10857","LOC_Os07g43560"
"10862","LOC_Os07g43730"
"10879","LOC_Os07g44190"
"10889","LOC_Os07g44610"
"10911","LOC_Os07g45090"
"10917","LOC_Os07g45320"
"10933","LOC_Os07g46350"
"10960","LOC_Os07g46750"
"10984","LOC_Os07g47430"
"10998","LOC_Os07g47700"
"11024","LOC_Os07g48490"
"11025","LOC_Os07g48500"
"11038","LOC_Os07g48780"
"11047","LOC_Os07g48980"
"11052","LOC_Os07g49114"
"11053","LOC_Os07g49150"
"11060","LOC_Os07g49330"
"11064","LOC_Os07g49400"
"11084","LOC_Os08g01240"
"11093","LOC_Os08g01410"
"11107","LOC_Os08g01770"
"11123","LOC_Os08g02080"
"11125","LOC_Os08g02120"
"11131","LOC_Os08g02340"
"11136","LOC_Os08g02410"
"11142","LOC_Os08g02640"
"11148","LOC_Os08g03290"
"11155","LOC_Os08g03400"
"11158","LOC_Os08g03450"
"11159","LOC_Os08g03520"
"11162","LOC_Os08g03579"
"11164","LOC_Os08g03610"
"11188","LOC_Os08g04620"
"11189","LOC_Os08g04780"
"11217","LOC_Os08g05910"
"11225","LOC_Os08g06100"
"11238","LOC_Os08g06380"
"11242","LOC_Os08g06460"
"11248","LOC_Os08g06550"
"11253","LOC_Os08g06885"
"11255","LOC_Os08g07010"
"11268","LOC_Os08g07740"
"11278","LOC_Os08g07970"
"11298","LOC_Os08g08840"
"11303","LOC_Os08g09200"
"11306","LOC_Os08g09250"
"11326","LOC_Os08g10250"
"11328","LOC_Os08g10350"
"11335","LOC_Os08g10510"
"11342","LOC_Os08g10630"
"11352","LOC_Os08g12430"
"11375","LOC_Os08g13690"
"11399","LOC_Os08g14880"
"11411","LOC_Os08g15258"
"11422","LOC_Os08g15840"
"11444","LOC_Os08g17370"
"11450","LOC_Os08g17655"
"11483","LOC_Os08g20570"
"11550","LOC_Os08g26840"
